"muni_county_2016","hindi","MCD_FIPS"
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"CITY OF GREEN BAY BROWN","5231",5500931000
"TOWN OF ALMA BUFFALO","6002",5501101250
"TOWN OF BELVIDERE BUFFALO","6004",5501106675
"TOWN OF BUFFALO BUFFALO","6006",5501111025
"TOWN OF CANTON BUFFALO","6008",5501112500
"TOWN OF CROSS BUFFALO","6010",5501117737
"TOWN OF DOVER BUFFALO","6012",5501120575
"TOWN OF GILMANTON BUFFALO","6014",5501129225
"TOWN OF GLENCOE BUFFALO","6016",5501129375
"TOWN OF LINCOLN BUFFALO","6018",5501144300
"TOWN OF MAXVILLE BUFFALO","6020",5501150075
"TOWN OF MILTON BUFFALO","6022",5501152175
"TOWN OF MODENA BUFFALO","6024",5501153450
"TOWN OF MONDOVI BUFFALO","6026",5501153625
"TOWN OF MONTANA BUFFALO","6028",5501153850
"TOWN OF NAPLES BUFFALO","6030",5501155450
"TOWN OF NELSON BUFFALO","6032",5501155975
"TOWN OF WAUMANDEE BUFFALO","6034",5501184325
"VILLAGE OF COCHRANE BUFFALO","6111",5501116025
"VILLAGE OF NELSON BUFFALO","6154",5501155950
"CITY OF ALMA BUFFALO","6201",5501101225
"CITY OF BUFFALO CITY BUFFALO","6206",5501111062
"CITY OF FOUNTAIN CITY BUFFALO","6226",5501126850
"CITY OF MONDOVI BUFFALO","6251",5501153600
"TOWN OF ANDERSON BURNETT","7002",5501301900
"TOWN OF BLAINE BURNETT","7004",5501308025
"TOWN OF DANIELS BURNETT","7006",5501318750
"TOWN OF DEWEY BURNETT","7008",5501319925
"TOWN OF GRANTSBURG BURNETT","7010",5501330475
"TOWN OF JACKSON BURNETT","7012",5501337650
"TOWN OF LA FOLLETTE BURNETT","7014",5501340975
"TOWN OF LINCOLN BURNETT","7016",5501344325
"TOWN OF MEENON BURNETT","7018",5501350650
"TOWN OF OAKLAND BURNETT","7020",5501359075
"TOWN OF ROOSEVELT BURNETT","7022",5501369325
"TOWN OF RUSK BURNETT","7024",5501370225
"TOWN OF SAND LAKE BURNETT","7026",5501371450
"TOWN OF SCOTT BURNETT","7028",5501372225
"TOWN OF SIREN BURNETT","7030",5501374200
"TOWN OF SWISS BURNETT","7032",5501378775
"TOWN OF TRADE LAKE BURNETT","7034",5501380375
"TOWN OF UNION BURNETT","7036",5501381500
"TOWN OF WEBB LAKE BURNETT","7038",5501384975
"TOWN OF WEST MARSHLAND BURNETT","7040",5501385850
"TOWN OF WOOD RIVER BURNETT","7042",5501388900
"VILLAGE OF GRANTSBURG BURNETT","7131",5501330450
"VILLAGE OF SIREN BURNETT","7181",5501374175
"VILLAGE OF WEBSTER BURNETT","7191",5501385025
"TOWN OF BRILLION CALUMET","8002",5501509750
"TOWN OF BROTHERTOWN CALUMET","8004",5501510350
