OBJECTID,GEOID,B03001e1,B03001m1,B03001e2,B03001m2,B03001e3,B03001m3,B03001e4,B03001m4,B03001e5,B03001m5,B03001e6,B03001m6,B03001e7,B03001m7,B03001e8,B03001m8,B03001e9,B03001m9,B03001e10,B03001m10,B03001e11,B03001m11,B03001e12,B03001m12,B03001e13,B03001m13,B03001e14,B03001m14,B03001e15,B03001m15,B03001e16,B03001m16,B03001e17,B03001m17,B03001e18,B03001m18,B03001e19,B03001m19,B03001e20,B03001m20,B03001e21,B03001m21,B03001e22,B03001m22,B03001e23,B03001m23,B03001e24,B03001m24,B03001e25,B03001m25,B03001e26,B03001m26,B03001e27,B03001m27,B03001e28,B03001m28,B03001e29,B03001m29,B03001e30,B03001m30,B03001e31,B03001m31,B03002e1,B03002m1,B03002e2,B03002m2,B03002e3,B03002m3,B03002e4,B03002m4,B03002e5,B03002m5,B03002e6,B03002m6,B03002e7,B03002m7,B03002e8,B03002m8,B03002e9,B03002m9,B03002e10,B03002m10,B03002e11,B03002m11,B03002e12,B03002m12,B03002e13,B03002m13,B03002e14,B03002m14,B03002e15,B03002m15,B03002e16,B03002m16,B03002e17,B03002m17,B03002e18,B03002m18,B03002e19,B03002m19,B03002e20,B03002m20,B03002e21,B03002m21,B03003e1,B03003m1,B03003e2,B03003m2,B03003e3,B03003m3
360,06000US5502548750,1478,74,1414,73,64,45,51,43,0,9,0,9,0,9,9,13,0,9,0,9,0,9,0,9,9,13,0,9,0,9,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,5,0,9,0,9,0,9,0,9,0,9,0,9,1478,74,1414,73,1379,70,10,17,0,9,4,5,0,9,0,9,21,13,0,9,21,13,64,45,64,45,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1478,74,1414,73,64,45
361,06000US5502549575,3920,21,3423,182,497,181,483,184,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,14,20,0,9,0,9,0,9,14,20,3920,21,3423,182,3204,333,219,328,0,9,0,9,0,9,0,9,0,9,0,9,0,9,497,181,390,279,0,9,0,9,14,20,0,9,93,140,0,9,0,9,0,9,3920,21,3423,182,497,181
362,06000US5502550225,1716,153,1644,156,72,44,45,28,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,7,10,0,9,0,9,0,9,7,10,0,9,0,9,0,9,0,9,0,9,0,9,20,28,0,9,0,9,0,9,20,28,1716,153,1644,156,1603,151,12,11,0,9,5,7,0,9,4,5,20,16,0,9,20,16,72,44,58,40,0,9,0,9,0,9,0,9,14,20,0,9,0,9,0,9,1716,153,1644,156,72,44
363,06000US5502550250,1066,110,1038,108,28,28,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,22,27,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,22,27,0,9,2,5,2,5,0,9,0,9,0,9,1066,110,1038,108,1010,109,0,9,0,9,9,9,0,9,0,9,19,25,0,9,19,25,28,28,28,28,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1066,110,1038,108,28,28
364,06000US5502550475,1234,158,1169,144,65,59,65,59,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1234,158,1169,144,1130,126,0,9,0,9,3,5,0,9,0,9,36,34,0,9,36,34,65,59,17,26,0,9,0,9,0,9,0,9,48,56,0,9,0,9,0,9,1234,158,1169,144,65,59
365,06000US5502551575,18478,27,17313,316,1165,316,1012,307,51,53,0,14,0,14,16,27,0,14,0,14,16,27,0,14,0,14,0,14,0,14,40,51,0,14,33,51,0,14,0,14,7,10,0,14,0,14,0,14,0,14,0,14,46,55,15,23,31,52,0,14,0,14,18478,27,17313,316,15038,607,1050,410,33,35,833,276,13,19,0,14,346,140,0,14,346,140,1165,316,882,334,0,14,0,14,0,14,0,14,241,285,42,55,0,14,42,55,18478,27,17313,316,1165,316
366,06000US5502551600,6083,21,5884,131,199,130,51,53,8,13,0,12,0,12,30,44,0,12,0,12,0,12,30,44,0,12,0,12,0,12,110,115,0,12,0,12,39,60,0,12,0,12,0,12,0,12,0,12,71,102,0,12,0,12,0,12,0,12,0,12,0,12,6083,21,5884,131,5527,268,0,12,13,17,285,242,0,12,0,12,59,68,0,12,59,68,199,130,98,83,0,12,0,12,0,12,0,12,101,108,0,12,0,12,0,12,6083,21,5884,131,199,130
367,06000US5502553675,7835,24,7506,124,329,120,67,51,61,56,32,46,0,12,44,42,0,12,8,13,36,40,0,12,0,12,0,12,0,12,98,73,8,14,0,12,0,12,0,12,30,49,0,12,11,19,39,52,10,16,0,12,27,28,12,20,0,12,0,12,15,19,7835,24,7506,124,7096,204,174,121,0,12,154,110,0,12,0,12,82,62,0,12,82,62,329,120,240,111,0,12,9,15,0,12,0,12,25,26,55,42,26,23,29,34,7835,24,7506,124,329,120
368,06000US5502554100,1046,108,1046,108,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1046,108,1046,108,1046,108,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1046,108,1046,108,0,9
369,06000US5502554725,7349,27,7301,62,48,56,17,26,31,48,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7349,27,7301,62,7236,86,17,25,0,12,0,12,0,12,0,12,48,46,0,12,48,46,48,56,48,56,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7349,27,7301,62,48,56
370,06000US5502560200,9769,29,9643,111,126,109,87,95,0,14,0,14,0,14,6,10,0,14,0,14,0,14,0,14,0,14,6,10,0,14,33,52,0,14,0,14,0,14,0,14,8,12,0,14,25,40,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,9769,29,9643,111,9042,341,261,230,41,44,38,39,0,14,0,14,261,164,35,57,226,159,126,109,16,18,0,14,0,14,0,14,0,14,33,52,77,94,77,94,0,14,9769,29,9643,111,126,109
371,06000US5502560225,3232,40,3218,43,14,13,11,12,0,9,0,9,0,9,3,6,0,9,3,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3232,40,3218,43,3169,57,0,9,0,9,10,12,0,9,0,9,39,38,0,9,39,38,14,13,7,10,0,9,4,5,0,9,0,9,3,6,0,9,0,9,0,9,3232,40,3218,43,14,13
372,06000US5502562050,805,107,753,90,52,68,50,68,0,9,0,9,0,9,2,3,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,805,107,753,90,743,89,4,4,3,6,0,9,0,9,0,9,3,5,0,9,3,5,52,68,52,68,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,805,107,753,90,52,68
373,06000US5502563375,3289,20,3258,36,31,30,0,9,5,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,26,28,0,9,26,28,0,9,0,9,3289,20,3258,36,3083,131,23,35,10,15,102,121,0,9,0,9,40,43,0,9,40,43,31,30,26,28,0,9,0,9,5,9,0,9,0,9,0,9,0,9,0,9,3289,20,3258,36,31,30
374,06000US5502565575,710,89,694,88,16,17,6,11,10,14,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,710,89,694,88,658,77,2,4,1,3,4,6,0,9,0,9,29,35,0,9,29,35,16,17,0,9,8,11,0,9,0,9,0,9,0,9,8,12,0,9,8,12,710,89,694,88,16,17
375,06000US5502568725,202,42,175,30,27,34,27,34,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,202,42,175,30,168,30,6,7,0,9,1,2,0,9,0,9,0,9,0,9,0,9,27,34,5,7,0,9,0,9,0,9,0,9,22,33,0,9,0,9,0,9,202,42,175,30,27,34
