"","hindi","reporting_unit","reporting_unit_orig","county","muni_county","votes_perc_republican","votes_perc_democrat","votes_perc_other","turnout_perc","tch_prop","os_prop","counted_absent_prop","tch_votes","rejected_absent_prop","absentee_undeliverable","sameday_reg_prop","total_ballots","registrants","late_registrants","votes_tot","county_paper_or_paperplusmachine","ratio_nocollege_college","log.pop.sq.mile.2010","pop_sq_mile_2010","tch_model_off_full","os_model_off","bmd_model_off","medianhouseholdincome_2009.2013","pop","inc_2015","unemp_rate","pct_graduate","pct_white","pct_black","pct_latino","pct_male","age_med","house_size_ave","muni.dense"
"TOWN-OF-UTICA-WARD-1-CRAWFORD","12020","TOWN-OF-UTICA-WARD-1-CRAWFORD","TOWN OF UTICA WARD 1","CRAWFORD","TOWN OF UTICA CRAWFORD",41.5807560137457,58.0756013745705,0.343642611683849,0.746192893401015,0.802721088435374,0,0.0374149659863946,236,0,0,0.0456852791878173,294,394,0,291,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,719,24101,1.37614678899083,16.7452830188679,93.3240611961057,0,0,52.4339360222531,48.3,2.28,4.8676844453143
"TOWN-OF-WAUZEKA-WARD-1-2-CRAWFORD","12022","TOWN-OF-WAUZEKA-WARD-1-2-CRAWFORD","TOWN OF WAUZEKA WARD 1-2","CRAWFORD","TOWN OF WAUZEKA CRAWFORD",53.2934131736527,45.5089820359281,1.19760479041916,0.653696498054475,0.863095238095238,0,0.0297619047619048,145,0,0,0.0233463035019455,168,257,0,167,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,427,22436,4.66101694915254,8.45070422535211,100,0,0,53.1615925058548,43.3,2.81,7.63778485979651
"VILLAGE-OF-BELL-CENTER-WARD-1-CRAWFORD","12106","VILLAGE-OF-BELL-CENTER-WARD-1-CRAWFORD","VILLAGE OF BELL CENTER WARD 1","CRAWFORD","VILLAGE OF BELL CENTER CRAWFORD",37.5,62.5,0,0.842105263157895,0.791666666666667,0,0.0208333333333333,38,0,0,0.0526315789473684,48,57,0,48,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,127,16848,2.53164556962025,16,96.8503937007874,3.1496062992126,0.78740157480315,52.755905511811,43.8,2.23,8.76023507052297
"VILLAGE-OF-DE-SOTO-WARD-2-CRAWFORD","12116","VILLAGE-OF-DE-SOTO-WARD-2-CRAWFORD","VILLAGE OF DE SOTO WARD 2","CRAWFORD","VILLAGE OF DE SOTO CRAWFORD",47.5,52.5,0,0.655737704918033,0.95,0,0,38,0,0,0.0327868852459016,40,61,0,40,2,5.5,3.37416870927424,29.2,NA,NA,NA,42235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VILLAGE-OF-EASTMAN-WARD-1-CRAWFORD","12121","VILLAGE-OF-EASTMAN-WARD-1-CRAWFORD","VILLAGE OF EASTMAN WARD 1","CRAWFORD","VILLAGE OF EASTMAN CRAWFORD",50,48.6111111111111,1.38888888888889,0.668181818181818,0.816326530612245,0,0.0816326530612245,120,0,0,0.00909090909090909,147,220,0.0136054421768707,144,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,413,19808,8.64197530864197,9.64467005076142,98.7893462469734,0,0,56.6585956416465,33.4,2.47,44.0589614055319
"VILLAGE-OF-FERRYVILLE-WARD-1-CRAWFORD","12126","VILLAGE-OF-FERRYVILLE-WARD-1-CRAWFORD","VILLAGE OF FERRYVILLE WARD 1","CRAWFORD","VILLAGE OF FERRYVILLE CRAWFORD",47.1153846153846,51.9230769230769,0.961538461538462,0.873949579831933,0.865384615384615,0,0.144230769230769,90,0,0,0.0840336134453782,104,119,0.0480769230769231,104,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,158,25153,6.94444444444444,16.4179104477612,100,0,0,48.7341772151899,61.5,1.98,30.6500542635765
"VILLAGE-OF-GAYS-MILLS-WARD-1-CRAWFORD","12131","VILLAGE-OF-GAYS-MILLS-WARD-1-CRAWFORD","VILLAGE OF GAYS MILLS WARD 1","CRAWFORD","VILLAGE OF GAYS MILLS CRAWFORD",38.1909547738693,60.3015075376884,1.50753768844221,0.64968152866242,0.632352941176471,0,0.112745098039216,129,0,0,0.054140127388535,204,314,0.00490196078431373,199,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,501,16649,7.85714285714286,10.9243697478992,99.001996007984,0,0,46.3073852295409,39.1,2.65,39.4270509126541
"VILLAGE-OF-LYNXVILLE-WARD-1-CRAWFORD","12146","VILLAGE-OF-LYNXVILLE-WARD-1-CRAWFORD","VILLAGE OF LYNXVILLE WARD 1","CRAWFORD","VILLAGE OF LYNXVILLE CRAWFORD",48.2758620689655,50,1.72413793103448,0.698795180722892,0.775862068965517,0,0.0862068965517241,45,0,0,0.072289156626506,58,83,0,58,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,147,18936,10.8433734939759,6.41025641025641,93.8775510204082,0,2.72108843537415,45.578231292517,51.8,2.37,41.424969276396
"VILLAGE-OF-MT.-STERLING-WARD-1-CRAWFORD","12151","VILLAGE-OF-MT.-STERLING-WARD-1-CRAWFORD","VILLAGE OF MT. STERLING WARD 1","CRAWFORD","VILLAGE OF MT. STERLING CRAWFORD",37.3333333333333,58.6666666666667,4,0.710280373831776,0.960526315789474,0,0.0131578947368421,73,0,0,0.0186915887850467,76,107,0,75,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,202,22372,1.81818181818182,3.80952380952381,98.019801980198,0,0.99009900990099,47.029702970297,46.6,2.06,54.7254846589397
"VILLAGE-OF-SOLDIERS-GROVE-WARD-1-CRAWFORD","12181","VILLAGE-OF-SOLDIERS-GROVE-WARD-1-CRAWFORD","VILLAGE OF SOLDIERS GROVE WARD 1","CRAWFORD","VILLAGE OF SOLDIERS GROVE CRAWFORD",38.3084577114428,60.6965174129353,0.995024875621891,0.658064516129032,0.416666666666667,0,0.0833333333333333,85,0,0,0.0354838709677419,204,310,0,201,2,5.5,3.37416870927424,29.2,"Dominion (Sequoia)/Command Central-Edge","None",NA,42235,592,17821,3.66300366300366,9.12698412698413,99.4932432432432,0,0,45.6081081081081,52.5,2.28,64.0337142724471
