"","county","municipality","muni_county","reporting_unit_orig","reporting_unit","democrat_votes.rec","democrat_votes.perc","other_votes.rec","other_votes.perc","republican_votes.rec","republican_votes.perc","votes.tot"
"1836","DOOR","TOWN OF CLAY BANKS","TOWN OF CLAY BANKS DOOR","TOWN OF CLAY BANKS WARD 1 DOOR","TOWN-OF-CLAY-BANKS-WARD-1-DOOR",124,49.0118577075099,2,0.790513833992095,127,50.197628458498,253
"1837","POLK","TOWN OF CLAYTON","TOWN OF CLAYTON POLK","TOWN OF CLAYTON WARD 1 POLK","TOWN-OF-CLAYTON-WARD-1-POLK",238,48.5714285714286,8,1.63265306122449,244,49.7959183673469,490
"1838","CRAWFORD","TOWN OF CLAYTON","TOWN OF CLAYTON CRAWFORD","TOWN OF CLAYTON WARDS 1-3 CRAWFORD","TOWN-OF-CLAYTON-WARD-1-3-CRAWFORD",306,64.1509433962264,8,1.67714884696017,163,34.1719077568134,477
"1839","WINNEBAGO","TOWN OF CLAYTON","TOWN OF CLAYTON WINNEBAGO","TOWN OF CLAYTON WARDS 1-7 WINNEBAGO","TOWN-OF-CLAYTON-WARD-1-7-WINNEBAGO",879,36.762860727729,34,1.4219991635299,1478,61.8151401087411,2391
"1840","EAU CLAIRE","TOWN OF CLEAR CREEK","TOWN OF CLEAR CREEK EAU CLAIRE","TOWN OF CLEAR CREEK WARDS 1, 2 EAU CLAIRE","TOWN-OF-CLEAR-CREEK-WARD-1-2-EAU-CLAIRE",210,49.4117647058824,5,1.17647058823529,210,49.4117647058824,425
"1841","POLK","TOWN OF CLEAR LAKE","TOWN OF CLEAR LAKE POLK","TOWN OF CLEAR LAKE WARD 1 POLK","TOWN-OF-CLEAR-LAKE-WARD-1-POLK",168,39.8104265402844,5,1.18483412322275,249,59.0047393364929,422
"1842","JUNEAU","TOWN OF CLEARFIELD","TOWN OF CLEARFIELD JUNEAU","TOWN OF CLEARFIELD WARD 1 JUNEAU","TOWN-OF-CLEARFIELD-WARD-1-JUNEAU",148,48.3660130718954,6,1.96078431372549,152,49.6732026143791,306
"1843","JUNEAU","TOWN OF CLEARFIELD","TOWN OF CLEARFIELD JUNEAU","TOWN OF CLEARFIELD WARD 2 JUNEAU","TOWN-OF-CLEARFIELD-WARD-2-JUNEAU",38,51.3513513513513,0,0,36,48.6486486486487,74
"1844","CHIPPEWA","TOWN OF CLEVELAND","TOWN OF CLEVELAND CHIPPEWA","TOWN OF CLEVELAND WARD 1 CHIPPEWA","TOWN-OF-CLEVEL-WARD-1-CHIPPEWA",168,40.8759124087591,2,0.48661800486618,241,58.6374695863747,411
"1845","JACKSON","TOWN OF CLEVELAND","TOWN OF CLEVELAND JACKSON","TOWN OF CLEVELAND WARD 1 JACKSON","TOWN-OF-CLEVEL-WARD-1-JACKSON",104,44.8275862068966,3,1.29310344827586,125,53.8793103448276,232
"1846","TAYLOR","TOWN OF CLEVELAND","TOWN OF CLEVELAND TAYLOR","TOWN OF CLEVELAND WARD 1 TAYLOR","TOWN-OF-CLEVEL-WARD-1-TAYLOR",31,25.4098360655738,1,0.819672131147541,90,73.7704918032787,122
"1847","MARATHON","TOWN OF CLEVELAND","TOWN OF CLEVELAND MARATHON","TOWN OF CLEVELAND WARDS 1 & 2 MARATHON","TOWN-OF-CLEVEL-WARD-1-2-MARATHON",281,38.5989010989011,4,0.549450549450549,443,60.8516483516483,728
"1848","MONROE","TOWN OF CLIFTON","TOWN OF CLIFTON MONROE","TOWN OF CLIFTON WARD 1 MONROE","TOWN-OF-CLIFTON-WARD-1-MONROE",114,50.8928571428571,4,1.78571428571429,106,47.3214285714286,224
"1849","PIERCE","TOWN OF CLIFTON","TOWN OF CLIFTON PIERCE","TOWN OF CLIFTON WARDS 1 - 3 PIERCE","TOWN-OF-CLIFTON-WARD-1-3-PIERCE",534,43.1689571544058,15,1.21261115602264,688,55.6184316895715,1237
"1850","GRANT","TOWN OF CLIFTON","TOWN OF CLIFTON GRANT","TOWN OF CLIFTON WARDS 1 & 2 GRANT","TOWN-OF-CLIFTON-WARD-1-2-GRANT",81,53.6423841059603,2,1.32450331125828,68,45.0331125827815,151
"1851","BARRON","TOWN OF CLINTON","TOWN OF CLINTON BARRON","TOWN OF CLINTON WARD 1 BARRON","TOWN-OF-CLINTON-WARD-1-BARRON",149,42.090395480226,6,1.69491525423729,199,56.2146892655367,354
"1852","ROCK","TOWN OF CLINTON","TOWN OF CLINTON ROCK","TOWN OF CLINTON WARD 1 ROCK","TOWN-OF-CLINTON-WARD-1-ROCK",181,34.280303030303,8,1.51515151515152,339,64.2045454545455,528
"1853","VERNON","TOWN OF CLINTON","TOWN OF CLINTON VERNON","TOWN OF CLINTON WARDS 1 & 2 VERNON","TOWN-OF-CLINTON-WARD-1-2-VERNON",121,49.3877551020408,7,2.85714285714286,117,47.7551020408163,245
"1854","BAYFIELD","TOWN OF CLOVER","TOWN OF CLOVER BAYFIELD","TOWN OF CLOVER WARD 1 BAYFIELD","TOWN-OF-CLOVER-WARD-1-BAYFIELD",104,58.1005586592179,5,2.79329608938547,70,39.1061452513966,179
"1855","DOUGLAS","TOWN OF CLOVERLAND","TOWN OF CLOVERLAND DOUGLAS","TOWN OF CLOVERLAND WARD 1 DOUGLAS","TOWN-OF-CLOVERL-WARD-1-DOUGLAS",65,49.618320610687,1,0.763358778625954,65,49.618320610687,131
"1856","VILAS","TOWN OF CLOVERLAND","TOWN OF CLOVERLAND VILAS","TOWN OF CLOVERLAND WARDS 1-2 VILAS","TOWN-OF-CLOVERL-WARD-1-2-VILAS",279,38.75,13,1.80555555555556,428,59.4444444444444,720
"1857","IOWA","TOWN OF CLYDE","TOWN OF CLYDE IOWA","TOWN OF CLYDE WARD 1 IOWA","TOWN-OF-CLYDE-WARD-1-IOWA",114,60.6382978723404,4,2.12765957446809,70,37.2340425531915,188
"1858","DODGE","TOWN OF CLYMAN","TOWN OF CLYMAN DODGE","TOWN OF CLYMAN WARD 1 DODGE","TOWN-OF-CLYMAN-WARD-1-DODGE",128,29.3577981651376,4,0.917431192660551,304,69.7247706422018,436
"1859","ADAMS","TOWN OF COLBURN","TOWN OF COLBURN ADAMS","TOWN OF COLBURN WARD 1 ADAMS","TOWN-OF-COLBURN-WARD-1-ADAMS",63,50.8064516129032,3,2.41935483870968,58,46.7741935483871,124
"1860","CHIPPEWA","TOWN OF COLBURN","TOWN OF COLBURN CHIPPEWA","TOWN OF COLBURN WARD 1 CHIPPEWA","TOWN-OF-COLBURN-WARD-1-CHIPPEWA",164,40.3940886699507,1,0.246305418719212,241,59.35960591133,406
"1861","CLARK","TOWN OF COLBY","TOWN OF COLBY CLARK","TOWN OF COLBY WARDS 1, 2 & 3 CLARK","TOWN-OF-COLBY-WARD-1-2-3-CLARK",104,38.0952380952381,5,1.83150183150183,164,60.0732600732601,273
"1862","JEFFERSON","TOWN OF COLD SPRING","TOWN OF COLD SPRING JEFFERSON","TOWN OF COLD SPRING WARD 1 JEFFERSON","TOWN-OF-COLD-SPRING-WARD-1-JEFFERSON",175,37.1549893842887,10,2.12314225053079,286,60.7218683651805,471
"1863","DUNN","TOWN OF COLFAX","TOWN OF COLFAX DUNN","TOWN OF COLFAX WARDS 1-3 DUNN","TOWN-OF-COLFAX-WARD-1-3-DUNN",287,47.5165562913907,6,0.993377483443709,311,51.4900662251656,604
"1864","WAUSHARA","TOWN OF COLOMA","TOWN OF COLOMA WAUSHARA","TOWN OF COLOMA WARD 1 WAUSHARA","TOWN-OF-COLOMA-WARD-1-WAUSHARA",177,46.7018469656992,8,2.11081794195251,194,51.1873350923483,379
