"","county","dem.votes","dem.votes.perc","rep.votes","rep.votes.perc","oth.votes","oth.votes.perc","turnout","year","perc.diff","num.diff","winner","winner.party","mean.poll.trump","mean.poll.clinton","turnout.all","reg.voters.all","registered.voters","turnout.perc.reg","turnout.state.reg","total.voters.age.est","turnout.perc.allage.est","turnout.2012","turnout.2012.perc","dem.2012","rep.2012","oth.2012","diff.2012.num","diff.2012.perc","use.machines.prop","machine.most.used","all.machines"
"61","Taylor",2398,25.46,6589,69.97,430,4.56,9417,2016,44.51,4191,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,11663,80.7425190774243,81.343183804623,15926,59.1297249780234,9512,60.690359216487,3763,5601,148,1838,19.322960470984,0.222222222222222,"ES&S","Some or no optical scanners"
"62","Trempealeau",5645,41.57,7370,54.27,566,4.17,13581,2016,12.7,1725,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,16689,81.3769548804602,81.343183804623,22414,60.5915945391273,13481,61.1133777596446,7605,5707,169,-1898,-14.0790742526519,0.115384615384615,"ES&S","Some or no optical scanners"
"63","Vernon",6351,44.75,6994,49.28,848,5.98,14193,2016,4.53,643,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,17080,83.0971896955504,81.343183804623,22404,63.3502945902517,14269,64.7149530590956,8044,5942,283,-2102,-14.7312355455883,0.03125,"Dominion","Some or no optical scanners"
"64","Vilas",4769,35.45,8169,60.72,515,3.82,13453,2016,25.27,3400,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,16124,83.4346316050608,81.343183804623,18029,74.6186699206833,13842,78.0138646226681,5951,7749,142,1798,12.9894523912729,1,"Dominion","Mostly optical scanners"
"65","Walworth",18706,36.99,28848,57.05,3016,5.96,50570,2016,20.06,10142,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,62241,81.2486945903825,81.343183804623,80116,63.1209745868491,52303,66.3348003094601,22552,29006,745,6454,12.3396363497314,1,"Dominion","Mostly optical scanners"
"66","Washburn",3283,36.24,5404,59.65,372,4.11,9059,2016,23.41,2121,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,10854,83.4623180394325,81.343183804623,12932,70.0510361892979,9287,72.9708493753438,4447,4699,141,252,2.71347044255411,0.04,"Dominion","Some or no optical scanners"
"67","Washington",20854,27.35,51729,67.84,3663,4.81,76246,2016,40.49,30875,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,89277,85.4038554162886,81.343183804623,102003,74.7487818985716,78742,78.4376618719369,23166,54765,811,31599,40.1297909628915,1,"Dominion","Mostly optical scanners"
"68","Waukesha",79199,33.52,145519,61.59,11551,4.9,236269,2016,28.07,66320,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,278896,84.7158080431415,81.343183804623,302945,77.9907243889155,243856,81.7899774944742,78779,162798,2279,84019,34.4543501082606,1,"Dominion","Mostly optical scanners"
"69","Waupaca",8303,32.57,16013,62.82,1175,4.61,25491,2016,30.25,7710,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,30952,82.356552080641,81.343183804623,41346,61.6528805688579,25840,63.502985918262,11578,14002,260,2424,9.38080495356037,0.352941176470588,"Dominion","Some or no optical scanners"
"70","Waushara",3802,31.79,7669,64.12,490,4.11,11961,2016,32.33,3867,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,14293,83.6843209962919,81.343183804623,20075,59.5815691158157,12048,60.9809181555904,5335,6562,151,1227,10.1842629482072,0.08,"Dominion","Some or no optical scanners"
"71","Winnebago",37054,43.14,43447,50.58,5391,6.28,85892,2016,7.44,6393,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,104771,81.9807007664335,81.343183804623,134103,64.0492755568481,89173,67.5655402333687,45449,42122,1602,-3327,-3.73094995121842,1,"Dominion","Mostly optical scanners"
"72","Wood",14232,37.74,21502,57.02,1978,5.25,37712,2016,19.28,7270,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,44072,85.5690687965148,81.343183804623,58795,64.1415086316864,38900,67.2266003041615,18581,19704,615,1123,2.88688946015424,0.882352941176471,"Dominion","Mostly optical scanners"
