"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2008","other_votes.rec2008","votes.tot2008","republican_votes.rec2008","dem.perc2008","rep.perc2008","oth.perc2008","dem.change.2008.num","rep.change.2008.num","oth.change.2008.num","dem.change.2008.perc","rep.change.2008.perc","oth.change.2008.perc","demwinner","demwinner2008","county","municipality","reporting_unit"
"11","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-2-LANGLADE","CITY OF ANTIGO WARD 2 LANGLADE","CITY OF ANTIGO","LANGLADE",169,41.219512195122,19,410,4.63414634146341,222,54.1463414634146,217,7,431,207,50.3480278422274,48.0278422273782,1.62412993039443,-48,15,12,-9.12851564710543,6.11849923603644,3.01001641106898,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"12","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-3-LANGLADE","CITY OF ANTIGO WARD 3 LANGLADE","CITY OF ANTIGO","LANGLADE",113,33.9339339339339,22,333,6.60660660660661,198,59.4594594594595,222,3,381,156,58.2677165354331,40.9448818897638,0.78740157480315,-109,42,19,-24.3337826014991,18.5145775696957,5.81920503180346,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"13","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-4-LANGLADE","CITY OF ANTIGO WARD 4 LANGLADE","CITY OF ANTIGO","LANGLADE",153,44.4767441860465,11,344,3.19767441860465,180,52.3255813953488,234,8,409,167,57.2127139364303,40.8312958435208,1.9559902200489,-81,13,3,-12.7359697503838,11.4942855518281,1.24168419855575,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"14","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-5-LANGLADE","CITY OF ANTIGO WARD 5 LANGLADE","CITY OF ANTIGO","LANGLADE",129,43.8775510204082,14,294,4.76190476190476,151,51.3605442176871,213,8,361,140,59.0027700831025,38.781163434903,2.21606648199446,-84,11,6,-15.1252190626943,12.579380782784,2.5458382799103,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"15","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-6-LANGLADE","CITY OF ANTIGO WARD 6 LANGLADE","CITY OF ANTIGO","LANGLADE",115,32.5779036827195,21,353,5.94900849858357,217,61.4730878186969,174,8,355,173,49.0140845070423,48.7323943661972,2.25352112676056,-59,44,13,-16.4361808243227,12.7406934524997,3.69548737182301,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"16","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-7-LANGLADE","CITY OF ANTIGO WARD 7 LANGLADE","CITY OF ANTIGO","LANGLADE",203,41.0931174089069,13,494,2.63157894736842,278,56.2753036437247,235,5,473,233,49.6828752642706,49.2600422832981,1.05708245243129,-32,45,8,-8.58975785536373,7.0152613604266,1.57449649493713,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"17","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-8-LANGLADE","CITY OF ANTIGO WARD 8 LANGLADE","CITY OF ANTIGO","LANGLADE",120,33.3333333333333,10,360,2.77777777777778,230,63.8888888888889,201,7,390,182,51.5384615384615,46.6666666666667,1.79487179487179,-81,48,3,-18.2051282051282,17.2222222222222,0.982905982905983,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"18","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-9-LANGLADE","CITY OF ANTIGO WARD 9 LANGLADE","CITY OF ANTIGO","LANGLADE",136,31.554524361949,20,431,4.64037122969838,275,63.8051044083527,234,6,418,178,55.9808612440191,42.5837320574163,1.43540669856459,-98,97,14,-24.4263368820702,21.2213723509364,3.20496453113378,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"19","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-1-OUTAGAMIE","CITY OF APPLETON WARD 1 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",334,52.3510971786834,56,638,8.77742946708464,248,38.871473354232,786,32,1175,357,66.8936170212766,30.3829787234043,2.72340425531915,-452,-109,24,-14.5425198425932,8.48849463082772,6.05402521176549,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"20","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-10-OUTAGAMIE","CITY OF APPLETON WARD 10 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",321,51.7741935483871,21,620,3.38709677419355,278,44.8387096774194,434,13,841,394,51.6052318668252,46.8489892984542,1.54577883472057,-113,-116,8,0.168961681561889,-2.01027962103487,1.84131793947298,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
