"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","demwinner","demwinner2012","county","municipality","reporting_unit"
"34","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-25-OUTAGAMIE","CITY OF APPLETON WARD 25 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",403,47.4676089517079,68,849,8.00942285041225,378,44.5229681978799,540,31,935,364,57.7540106951872,38.9304812834225,3.31550802139037,-137,14,37,-10.2864017434793,5.5924869144574,4.69391482902187,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"35","CITY OF APPLETON CALUMET","CITY-OF-APPLETON-WARD-26-CALUMET","CITY OF APPLETON WARD 26 CALUMET","CITY OF APPLETON","CALUMET",488,44.5255474452555,106,1096,9.67153284671533,502,45.8029197080292,636,23,1207,548,52.6926263463132,45.4018227009113,1.90555095277548,-148,-46,83,-8.1670789010577,0.401097007117855,7.76598189393985,0,1,"CALUMET","CITY OF APPLETON","CITY OF APPLETON WARD 12 CALUMET"
"36","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-27-OUTAGAMIE","CITY OF APPLETON WARD 27 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",533,54.5547594677584,86,977,8.80245649948823,358,36.6427840327533,567,28,1007,412,56.3058589870904,40.9136047666336,2.78053624627607,-34,-54,58,-1.75109951933192,-4.27082073388024,6.02192025321216,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"37","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-28-OUTAGAMIE","CITY OF APPLETON WARD 28 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",436,48.5523385300668,84,898,9.35412026726058,378,42.0935412026726,551,26,984,407,55.9959349593496,41.3617886178862,2.64227642276423,-115,-29,58,-7.44359642928278,0.73175258478642,6.71184384449635,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"38","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-29-OUTAGAMIE","CITY OF APPLETON WARD 29 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",594,52.2427440633245,100,1137,8.79507475813544,443,38.96218117854,719,47,1209,443,59.4706368899917,36.641852770885,3.88751033912324,-125,0,53,-7.22789282666718,2.32032840765498,4.9075644190122,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"39","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-3-OUTAGAMIE","CITY OF APPLETON WARD 3 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",1025,63.6645962732919,121,1610,7.51552795031056,464,28.8198757763975,1082,50,1617,485,66.9140383426098,29.9938157081014,3.09214594928881,-57,-21,71,-3.24944206931784,-1.17393993170391,4.42338200102175,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"40","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-30-OUTAGAMIE","CITY OF APPLETON WARD 30 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",466,50.1614639397201,73,929,7.85791173304629,390,41.9806243272336,623,28,1041,390,59.8463016330452,37.463976945245,2.68972142170989,-157,0,45,-9.68483769332502,4.51664738198863,5.16819031133639,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"41","CITY OF APPLETON WINNEBAGO","CITY-OF-APPLETON-WARD-31-WINNEBAGO","CITY OF APPLETON WARD 31 WINNEBAGO","CITY OF APPLETON","WINNEBAGO",41,45.0549450549451,7,91,7.69230769230769,43,47.2527472527472,63,1,108,44,58.3333333333333,40.7407407407407,0.925925925925926,-22,-1,6,-13.2783882783883,6.51200651200651,6.76638176638177,0,1,"WINNEBAGO","CITY OF APPLETON","CITY OF APPLETON WARD 31 WINNEBAGO"
"42","CITY OF APPLETON WINNEBAGO","CITY-OF-APPLETON-WARD-32-WINNEBAGO","CITY OF APPLETON WARD 32 WINNEBAGO","CITY OF APPLETON","WINNEBAGO",166,46.4985994397759,35,357,9.80392156862745,156,43.6974789915966,225,9,383,149,58.7467362924282,38.9033942558747,2.34986945169713,-59,7,26,-12.2481368526523,4.79408473572197,7.45405211693032,1,1,"WINNEBAGO","CITY OF APPLETON","CITY OF APPLETON WARD 31 WINNEBAGO"
"43","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-33-OUTAGAMIE","CITY OF APPLETON WARD 33 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",532,50.7149666348904,85,1049,8.10295519542421,432,41.1820781696854,595,37,1109,477,53.6519386834986,43.0117222723174,3.33633904418395,-63,-45,48,-2.93697204860828,-1.82964410263199,4.76661615124026,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"44","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-34-OUTAGAMIE","CITY OF APPLETON WARD 34 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",179,60.6779661016949,22,295,7.45762711864407,94,31.864406779661,204,6,301,91,67.7740863787375,30.2325581395349,1.99335548172757,-25,3,16,-7.09612027704262,1.63184864012613,5.46427163691649,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"45","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-35-OUTAGAMIE","CITY OF APPLETON WARD 35 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",429,45.8333333333333,70,936,7.47863247863248,437,46.6880341880342,535,16,1018,467,52.5540275049116,45.8742632612967,1.57170923379175,-106,-30,54,-6.72069417157827,0.813770926737526,5.90692324484073,0,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"46","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-36-OUTAGAMIE","CITY OF APPLETON WARD 36 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",558,47.0489038785835,84,1186,7.08263069139966,544,45.8684654300169,723,37,1330,570,54.3609022556391,42.8571428571429,2.78195488721805,-165,-26,47,-7.31199837705562,3.01132257287401,4.30067580418162,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
