county,Total Voter Reg,TotalTurnout_2016,Hillary Clinton_2016,Donald J. Trump_2016,other_2016,Total_2016,HRCmargin_2016,change%_D,change%_R,change%_other,change%_Total,HRC%_2016,DJT%_2016,other%_2016,County%_2016,Dwin_2016 (1=Dem win),Switch (1=switch),Method_2016.1paperonly.2.paper.machine.combo,Obama_2012,Romney_2012,Others_2012,Total_2012,BHO%_2012,MR%_2012,other%_2012,County_2012,Dwin_2012,"Method_2012 (1=paper only, 2=paper and machine combo)",pop_2014_est,pop_voterage_2014_est_calc,pop_2010_real,%under18_2013,%whitewithlatino_2013,%blackonly_2013,pop_blackonly_2013_calc,%whitenolatino_2013,pop_whitenolatino_2013_calc,pop_nonwhite_2013_calc,%_collegedegreepersons25+_2013,pop_collegedegreepersons25+_2013_calc,ratio_white_nonwhite,ratio_white_black,ratio_nocollege_college,medianhouseholdincome_2009-2013,pop_sq_mile_2010
Kewaunee,12568,85.47%,"3,623","6,616",503,"10,742",-2993,-29.69%,15.12%,267.15%,-2.67%,33.73%,61.59%,4.68%,0.36%,0,0,2,"5,153","5,747",137,"11,037",46.69%,52.07%,1.24%,0.36%,0,1,20444,15865,20574,22.4,97.7,0.4,63,95.6,15167,698,13.5,2142,21.7,239,6.4,53588,60.1
Juneau,13820,84.92%,"4,100","7,188",448,"11,736",-3088,-34.32%,32.84%,157.47%,-0.77%,34.94%,61.25%,3.82%,0.40%,0,1,2,"6,242","5,411",174,"11,827",52.78%,45.75%,1.47%,0.39%,1,2,26395,21010,26664,20.4,94.4,2.4,504,92,19330,1681,12.4,2605,11.5,38.3,7.1,45297,34.8
Waushara,13715,87.21%,"3,802","7,669",490,"11,961",-3867,-28.73%,16.87%,224.50%,-0.72%,31.79%,64.12%,4.10%,0.41%,0,0,2,"5,335","6,562",151,"12,048",44.28%,54.47%,1.25%,0.39%,0,2,24178,19584,24496,19,95.6,2.1,411,90,17626,1958,14.3,2801,9,42.9,6,43070,39.1
Iowa,14415,84.10%,"6,669","4,809",645,"12,123",1860,-17.72%,12.18%,354.23%,-3.28%,55.01%,39.67%,5.32%,0.41%,1,0,2,"8,105","4,287",142,"12,534",64.66%,34.20%,1.13%,0.41%,1,2,23825,18178,23687,23.7,97.8,0.5,91,96.3,17506,673,21.7,3945,26,192.6,3.6,55659,31.1
Vilas,16120,83.46%,"4,769","8,169",515,"13,453",-3400,-19.86%,5.42%,262.68%,-2.81%,35.45%,60.72%,3.83%,0.46%,0,0,2,"5,951","7,749",142,"13,842",42.99%,55.98%,1.03%,0.45%,0,2,21398,17739,21430,17.1,87,0.3,53,86,15255,2483,24.1,4275,6.1,286.7,3.1,40833,25
Clark,16236,83.44%,"4,225","8,645",678,"13,548",-4420,-31.55%,16.64%,212.44%,-1.83%,31.19%,63.81%,5.00%,0.46%,0,0,2,"6,172","7,412",217,"13,801",44.72%,53.71%,1.57%,0.45%,0,2,34423,24234,34690,29.6,97.6,0.4,97,93.8,22731,1502,11.6,2811,15.1,234.5,7.6,43276,28.7
Trempealeau,16077,84.47%,"5,645","7,370",566,"13,581",-1725,-25.77%,29.14%,234.91%,0.74%,41.57%,54.27%,4.17%,0.46%,0,1,2,"7,605","5,707",169,"13,481",56.41%,42.33%,1.25%,0.44%,1,2,29509,22309,28816,24.4,97.5,0.4,89,91.7,20457,1852,17.5,3904,11,229.3,4.7,49143,39.3
Vernon,16913,83.92%,"6,351","6,994",848,"14,193",-643,-21.05%,17.70%,199.65%,-0.53%,44.75%,49.28%,5.97%,0.48%,0,1,2,"8,044","5,942",283,"14,269",56.37%,41.64%,1.98%,0.47%,1,2,30362,22498,29773,25.9,98,0.4,90,96.6,21733,765,19.5,4387,28.4,241.5,4.1,45488,37.6
Lincoln,17121,85.06%,"5,370","8,400",793,"14,563",-3030,-29.00%,12.68%,300.51%,-4.29%,36.87%,57.68%,5.45%,0.49%,0,1,1,"7,563","7,455",198,"15,216",49.70%,48.99%,1.30%,0.50%,1,1,28493,22766,28743,20.1,97.2,0.9,205,96,21855,911,14.5,3301,24,106.7,5.9,49021,32.7
Door,20530,84.74%,"8,026","8,584",788,"17,398",-558,-14.22%,5.70%,308.29%,-1.54%,46.13%,49.34%,4.53%,0.59%,0,1,1,"9,357","8,121",193,"17,671",52.95%,45.96%,1.09%,0.58%,1,2,27766,22990,27785,17.2,97.1,0.6,138,94.6,21749,1241,29,6667,17.5,157.7,2.4,50438,57.6
