"","county","cand","votes.rec","votes.perc","cand.group"
"275","Menominee","Hillary Clinton",1003,78.42,"Clinton"
"276","Menominee","Rocky Roque De La Fuente",0,0,"Other"
"277","Menominee","Gary Johnson",0,0,"Other"
"278","Menominee","Monica Moorehead",0,0,"Other"
"279","Menominee","Jill Stein",7,0.55,"Other"
"280","Menominee","Donald J. Trump",269,21.03,"Trump"
"281","Milwaukee","Darrell Castle",1261,0.29,"Other"
"282","Milwaukee","Hillary Clinton",288986,66.44,"Clinton"
"283","Milwaukee","Rocky Roque De La Fuente",197,0.05,"Other"
"284","Milwaukee","Gary Johnson",13589,3.12,"Other"
"285","Milwaukee","Monica Moorehead",312,0.07,"Other"
"286","Milwaukee","Jill Stein",4534,1.04,"Other"
"287","Milwaukee","Donald J. Trump",126091,28.99,"Trump"
"288","Monroe","Darrell Castle",113,0.58,"Other"
"289","Monroe","Hillary Clinton",7047,36.04,"Clinton"
"290","Monroe","Rocky Roque De La Fuente",11,0.06,"Other"
"291","Monroe","Gary Johnson",701,3.58,"Other"
"292","Monroe","Monica Moorehead",11,0.06,"Other"
"293","Monroe","Jill Stein",229,1.17,"Other"
"294","Monroe","Donald J. Trump",11442,58.51,"Trump"
"295","Oconto","Darrell Castle",87,0.44,"Other"
"296","Oconto","Hillary Clinton",5886,29.54,"Clinton"
"297","Oconto","Rocky Roque De La Fuente",5,0.03,"Other"
"298","Oconto","Gary Johnson",569,2.86,"Other"
"299","Oconto","Monica Moorehead",8,0.04,"Other"
"300","Oconto","Jill Stein",114,0.57,"Other"
"301","Oconto","Donald J. Trump",13255,66.53,"Trump"
"302","Oneida","Darrell Castle",95,0.46,"Other"
"303","Oneida","Hillary Clinton",8103,38.89,"Clinton"
"304","Oneida","Rocky Roque De La Fuente",8,0.04,"Other"
"305","Oneida","Gary Johnson",751,3.6,"Other"
"306","Oneida","Monica Moorehead",12,0.06,"Other"
"307","Oneida","Jill Stein",191,0.92,"Other"
"308","Oneida","Donald J. Trump",11677,56.04,"Trump"
"309","Outagamie","Darrell Castle",475,0.5,"Other"
"310","Outagamie","Hillary Clinton",38117,40.05,"Clinton"
"311","Outagamie","Rocky Roque De La Fuente",45,0.05,"Other"
"312","Outagamie","Gary Johnson",3905,4.1,"Other"
"313","Outagamie","Monica Moorehead",58,0.06,"Other"
"314","Outagamie","Jill Stein",983,1.03,"Other"
"315","Outagamie","Donald J. Trump",51579,54.2,"Trump"
"316","Ozaukee","Darrell Castle",205,0.38,"Other"
